
2024/09/30 (12:52:35) | ===> btop++ v.1.4.0
2024/09/30 (12:52:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (11:30:18) | ===> btop++ v.1.4.0
2024/10/02 (11:30:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (12:25:17) | ===> btop++ v.1.4.0
2024/10/02 (12:25:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (12:53:01) | ===> btop++ v.1.4.0
2024/10/11 (12:53:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (10:49:42) | ===> btop++ v.1.4.0
2024/10/16 (10:49:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (11:46:37) | ===> btop++ v.1.4.0
2024/10/16 (11:46:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (16:53:08) | ===> btop++ v.1.4.0
2024/10/16 (16:53:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (11:20:31) | ===> btop++ v.1.4.0
2024/10/17 (11:20:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (11:22:10) | ===> btop++ v.1.4.0
2024/10/17 (11:22:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (11:22:22) | ===> btop++ v.1.4.0
2024/10/17 (11:22:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (11:31:09) | ===> btop++ v.1.4.0
2024/10/17 (11:31:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (11:58:38) | ===> btop++ v.1.4.0
2024/10/17 (11:58:38) | WARNING: Intel GPU: Failed to initialize PMU
